customer_id,for_month,mrr,last_yr,last_mrr,mobile_experiments_started,experiments_started,allocation,utilization,tickets_created,impressions,impression_revenue,knowledge_base_views,logins,sig_exp_90,brand_ops,running_experiment_days,vertical,segment,country,region,number_of_employees,traffic,annual_revenue,account_potential_score,ae,csm,partner_flag,first_month,last_month,final_row,churn?,days_overdue,collaborators_added,billing_period,age,contract_start_date,retention,churn_dollars,
5200056,12/1/2016,399,12/1/2015,399,0,0,0,0,0,0,0,0,240,yes,,0,Non-Profit,Corporate,Australia,APAC,"3,725","400,000","26,040,000",2,1,1,no,3/31/2011,12/31/2016,TRUE,Active,0,60,,519,1/4/2016,1,0,
7610134,12/1/2016,2751,12/1/2015,71,0,0,0,0,0,0,0,0,810,yes,,0,High Tech,Enterprise,United States,North America,35,"7,300,000","7,500,000",4,1,1,yes,7/31/2011,12/31/2016,TRUE,Active,1,15,,,6/17/2016,1,0,
10876295,1/1/2016,3000,1/1/2015,3000,0,1,2000000,101199,0,148057,222,0,4,yes,,218,Media,Corporate,United States,North America,687,"717,360","90,577,103",2,1,1,yes,11/30/2011,1/31/2016,TRUE,Churned,416,9,,292,2/28/2015,1,0,
14127233,12/1/2016,2684,12/1/2015,399,0,0,0,0,0,0,0,0,330,yes,,0,High Tech,Corporate,United States,North America,67,"217,935","7,500,000",2,1,1,yes,12/31/2011,12/31/2016,TRUE,Active,0,14,,,6/1/2016,1,0,
15945391,10/1/2016,1500,10/1/2015,0,0,0,50000,4602,0,11130,334,0,36,yes,,46,Retail,Corporate,United States,North America,25,"70,000","6,900,000",2,1,1,yes,5/31/2012,10/31/2016,TRUE,Churned,0,1,,43,11/9/2015,,,
16139229,12/1/2016,1000,12/1/2015,930,0,0,0,0,0,0,0,0,117,no,,0,High Tech,Corporate,United States,North America,165,"182,113","30,000,000",2,1,1,no,12/31/2011,12/31/2016,TRUE,Active,0,2,,,2/5/2016,1,0,
21132678,12/1/2016,500,12/1/2015,500,0,0,0,0,0,0,0,0,1377,yes,,0,Schools & Education,Enterprise,United States,North America,500,"1,000","100,000,000",2,1,1,no,3/31/2012,12/31/2016,TRUE,Active,0,51,,,3/20/2016,1,0,
23944930,12/1/2016,3150,12/1/2015,3150,0,0,0,0,0,0,0,0,0,no,,0,Retail,Corporate,United States,North America,5,"244,428",,2,1,1,yes,3/31/2012,12/31/2016,TRUE,Active,230,13,,359,6/2/2016,1,0,
31434199,12/1/2016,1596,12/1/2015,399,0,0,0,0,0,0,0,0,247,no,,0,Retail,Corporate,Israel,North America,30,"745,897","750,000",2,1,1,no,5/31/2012,12/31/2016,TRUE,Active,0,1,,,12/14/2016,1,0,
31463647,12/1/2016,5000,12/1/2015,71,0,0,0,0,0,0,0,0,1040,yes,,0,Other,Corporate,United States,North America,570,"1,800,000","96,969,902",3,1,1,yes,4/30/2012,12/31/2016,TRUE,Active,0,21,,,8/18/2016,1,0,
42806793,12/1/2016,3000,12/1/2015,3000,0,0,0,0,0,0,0,0,204,no,,0,High Tech,Corporate,United States,North America,15,"2,267,239","750,000",3,1,1,no,10/31/2012,12/31/2016,TRUE,Active,0,28,,324,2/1/2016,1,0,
48120048,12/1/2016,1500,12/1/2015,1500,0,0,0,0,0,0,0,0,1078,yes,,0,High Tech,Corporate,United States,North America,110,"19,626",,1,1,1,no,10/31/2012,12/31/2016,TRUE,Active,0,21,,332,12/31/2016,1,0,
65757589,12/1/2016,5300,12/1/2015,5300,0,0,0,0,0,0,0,0,2088,yes,,0,Media,Corporate,United States,North America,10,"2,000,000","496,000",3,1,1,yes,7/31/2012,12/31/2016,TRUE,Active,0,31,,541,10/1/2016,1,0,
79750674,12/1/2016,2000,12/1/2015,0,0,0,0,0,0,0,0,0,52,,,0,Retail,Corporate,United States,North America,149,"26,906","37,405,998",2,1,1,no,9/30/2012,12/31/2016,TRUE,Active,0,9,,34,1/15/2016,,,
127639284,12/1/2016,1250,12/1/2015,1250,0,0,0,0,0,0,0,0,612,yes,,0,Other,Corporate,United States,North America,250,"333,467","12,800,000",2,1,1,no,10/31/2012,12/31/2016,TRUE,Active,0,10,,543,9/1/2016,1,0,
137420230,12/1/2016,3350,12/1/2015,3350,0,0,0,0,0,0,0,0,192,no,,0,High Tech,Corporate,United States,North America,145,"650,000","8,100,000",2,1,1,no,12/31/2012,12/31/2016,TRUE,Active,0,8,,,3/18/2016,1,0,
141664430,12/1/2016,1000,12/1/2015,399,0,0,0,0,0,0,0,0,672,yes,,0,Retail,Corporate,United States,North America,6,"617,863","1,618,000",2,1,1,no,12/31/2012,12/31/2016,TRUE,Active,14,4,,,6/6/2016,1,0,
142694596,12/1/2016,6000,12/1/2015,6000,0,0,0,0,0,0,0,0,912,yes,,0,Retail,Corporate,United States,North America,150,"2,117,825",0,3,1,1,no,12/31/2012,12/31/2016,TRUE,Active,0,51,,378,9/1/2016,1,0,
161676556,12/1/2016,2500,12/1/2015,2500,0,0,0,0,0,0,0,0,60,yes,,0,Agency/Professional Services,Corporate,United States,North America,65,"2,117","14,264,000",1,1,1,no,1/31/2013,12/31/2016,TRUE,Active,0,8,,331,12/1/2016,1,0,
186827381,12/1/2016,2683,12/1/2015,79,0,0,0,0,0,0,0,0,286,yes,,0,Media,Corporate,United States,North America,10,"340,481",,2,1,1,no,3/31/2013,12/31/2016,TRUE,Active,0,5,,,12/21/2015,1,0,
190414572,12/1/2016,1943,12/1/2015,399,0,0,0,0,0,0,0,0,224,,,0,Travel & Entertainment,Corporate,United States,North America,125,"252,366",0,2,1,1,no,3/31/2013,12/31/2016,TRUE,Active,0,18,,92,9/29/2016,1,0,
192006575,12/1/2016,1735,12/1/2015,399,0,0,0,0,0,0,0,0,406,yes,,0,Other,Corporate,United States,North America,7,"200,000",,2,1,1,no,4/30/2013,12/31/2016,TRUE,Active,0,2,,,6/28/2016,1,0,
199137497,12/1/2016,2117,12/1/2015,399,0,0,0,0,0,0,0,0,108,no,,0,Financial Services,Corporate,United States,North America,493,"333,265","75,000,000",2,1,1,no,4/30/2013,12/31/2016,TRUE,Active,0,13,,,8/16/2016,1,0,
270484041,12/1/2016,1500,12/1/2015,399,0,0,0,0,0,0,0,0,208,yes,,0,Other,Corporate,United States,North America,30,"89,273","69,637,001",2,1,1,yes,9/30/2013,12/31/2016,TRUE,Active,0,1,,83,6/29/2016,1,0,
