customer_id,for_month,mrr,last_yr,last_mrr,sig_exp_90,partner_flag,logins,running_experiment_days,utilization,churn_dollars,churned
A1729,12/1/2016,1803,12/1/2015,1797,0,1,216,0,0,0,1
A1730,8/1/2016,4336,,0,0,0,0,4,3,,0
A1731,12/1/2016,1466,12/1/2015,1559,1,0,144,0,0,-93,1
A1732,10/1/2016,1972,10/1/2015,1972,1,1,560,375,182983,0,0
A1733,10/1/2016,1133,,0,1,0,0,27,26,,0
A1734,12/1/2016,2521,12/1/2015,2106,1,0,775,0,0,0,1
A1735,12/1/2016,2167,,0,1,0,0,0,0,,1
A1736,12/1/2016,4240,,0,1,0,195,0,0,,1
A1737,12/1/2016,2020,12/1/2015,2020,1,0,36,0,0,0,1
A1738,9/1/2016,1946,,0,1,0,156,137,302095,,0
A1739,12/1/2016,2206,12/1/2015,2720,1,1,192,0,0,-514,1
A1740,11/1/2016,2200,11/1/2015,1563,0,0,0,1,0,0,1
A1741,9/1/2016,2117,,0,0,0,24,18,12,,0
A1742,12/1/2016,4758,12/1/2015,4758,1,0,30,0,0,0,1
A1743,12/1/2016,1830,,0,0,0,0,0,0,,1
A1744,12/1/2016,3000,12/1/2015,3000,1,0,105,0,0,0,1
A1745,12/1/2016,2241,12/1/2015,2662,0,0,0,0,0,-421,1
A1746,12/1/2016,3520,12/1/2015,1873,0,1,0,0,0,0,1
A1747,12/1/2016,19489,12/1/2015,2175,1,0,285,0,0,0,1
A1748,12/1/2016,1250,,0,0,0,0,0,0,,1
A1749,10/1/2016,1426,,0,0,1,12,0,0,,0
A1750,12/1/2016,1204,12/1/2015,1515,1,1,195,0,0,-311,1
A1751,12/1/2016,2750,12/1/2015,1862,1,0,0,0,0,0,1
A1752,10/1/2016,3378,10/1/2015,3378,1,1,240,96,13152,0,0
A1753,9/1/2016,3278,,0,0,1,128,258,71815,,0
A1754,9/1/2016,11425,,0,1,1,90,444,100023,,0
A1755,12/1/2016,2128,12/1/2015,2128,1,1,91,0,0,0,1
A1756,12/1/2016,3250,,0,1,1,24,0,0,,1
A1757,12/1/2016,15433,12/1/2015,7500,1,1,1176,0,0,0,1
A1758,12/1/2016,3000,12/1/2015,3000,1,0,22,0,0,0,1
A1759,12/1/2016,11506,12/1/2015,5392,1,0,640,0,0,0,1
A1760,12/1/2016,3562,12/1/2015,3562,1,0,0,0,0,0,1
A1761,12/1/2016,1425,,0,1,0,24,0,0,,1
A1762,12/1/2016,1275,12/1/2015,1275,1,0,48,0,0,0,1
A1763,9/1/2016,3040,,0,0,0,0,0,0,,0
A1764,10/1/2016,3000,,0,0,1,0,34,4078,,0
A1765,9/1/2016,1500,,0,0,0,0,0,0,,0
A1766,12/1/2016,2309,,0,0,1,108,0,0,,1
A1767,10/1/2016,2767,,0,0,0,0,298,2072,,0
A1768,12/1/2016,1506,,0,0,0,0,0,0,,1
A1769,12/1/2016,4000,12/1/2015,4000,0,0,45,0,0,0,1
A1770,12/1/2016,1668,12/1/2015,1668,0,0,0,0,0,0,1
A1771,12/1/2016,2000,12/1/2015,2000,0,1,0,0,0,0,1
A1772,12/1/2016,5291,12/1/2015,5585,1,1,615,0,0,-294,1
A1773,12/1/2016,1100,12/1/2015,1100,0,0,0,0,0,0,1
A1774,12/1/2016,6840,,0,0,0,348,0,0,,1
A1775,12/1/2016,1050,12/1/2015,1050,0,0,0,0,0,0,1
A1776,12/1/2016,2438,12/1/2015,2438,1,0,144,0,0,0,1
A1777,12/1/2016,1125,12/1/2015,1125,0,0,24,0,0,0,1
A1778,7/1/2016,2892,,0,0,0,0,0,0,,0
A1779,11/1/2016,1382,,0,0,0,0,32,4,,1
A1780,12/1/2016,3758,,0,0,0,0,0,0,,1
A1781,12/1/2016,2000,,0,1,1,200,0,0,,1
A1782,9/1/2016,2471,,0,0,0,360,89,1100,,0
A1783,12/1/2016,1933,12/1/2015,2018,1,1,481,0,0,-85,1
A1784,12/1/2016,1312,12/1/2015,1312,0,0,24,0,0,0,1
A1785,12/1/2016,2500,12/1/2015,2500,0,0,0,0,0,0,1
A1786,12/1/2016,1750,,0,1,1,121,0,0,,1
A1787,12/1/2016,1696,12/1/2015,3008,1,0,44,0,0,-1312,1
A1788,12/1/2016,1958,,0,1,1,96,0,0,,1
A1789,12/1/2016,4528,,0,1,0,60,0,0,,1
A1790,2/1/2016,2554,,0,0,0,0,145,153462,,0
A1791,12/1/2016,1208,,0,0,0,0,0,0,,1
A1792,12/1/2016,2848,12/1/2015,1313,0,0,200,0,0,0,1
A1793,12/1/2016,1803,12/1/2015,1797,1,0,432,0,0,0,1
A1794,11/1/2015,1892,,0,0,1,0,0,0,,0
A1795,12/1/2016,973,,0,0,1,36,0,0,,1
A1796,12/1/2016,1472,,0,0,0,36,0,0,,1
A1797,12/1/2016,2000,,0,1,0,144,0,0,,1
A1798,12/1/2016,1200,,0,0,0,48,0,0,,1
A1799,10/1/2016,2171,10/1/2015,2171,1,1,36,263,53,0,0
A1800,11/1/2016,2019,11/1/2015,2019,0,0,0,3,2,0,1
A1801,12/1/2016,2250,,0,1,0,90,0,0,,1
A1802,12/1/2016,20061,12/1/2015,5064,1,0,121,0,0,0,1
A1803,12/1/2016,2059,,0,1,0,36,0,0,,1
A1804,12/1/2016,6118,,0,1,1,492,0,0,,1
A1805,12/1/2016,3780,,0,1,0,132,0,0,,1
A1806,10/1/2016,3419,,0,0,0,0,0,0,,0
A1807,12/1/2016,1884,12/1/2015,1982,1,0,24,0,0,-98,1
A1808,10/1/2016,3868,,0,0,1,120,51,13528,,0
A1809,12/1/2016,1170,12/1/2015,1340,0,0,60,0,0,-170,1
A1810,12/1/2016,2148,,0,0,1,12,0,0,,1
A1811,11/1/2016,2309,,0,0,0,0,0,0,,1
A1812,12/1/2016,6250,,0,1,0,0,0,0,,1
A1813,3/1/2016,4368,,0,0,0,0,270,245686,,0
A1814,12/1/2016,5958,,0,1,0,0,0,0,,1
A1815,12/1/2016,2869,12/1/2015,3502,1,0,546,0,0,-633,1
A1816,11/1/2016,6417,,0,0,0,0,0,0,,1
A1817,12/1/2016,1007,,0,1,0,288,0,0,,1
A1818,12/1/2016,1945,,0,1,0,210,0,0,,1
A1819,12/1/2016,2040,12/1/2015,3528,0,0,48,0,0,-1488,1
A1820,12/1/2016,8500,12/1/2015,8500,0,0,75,0,0,0,1
A1821,10/1/2016,3725,,0,1,1,495,791,492189,,0
A1822,12/1/2016,2717,,0,1,1,240,0,0,,1
A1823,12/1/2016,1527,,0,1,0,132,0,0,,1
A1824,12/1/2016,2504,12/1/2015,1200,1,0,96,0,0,0,1
