user_id,referrer_type,days_since_purch
341946,Misc,41
9380040,search,10
1066418,browse_search,85
1223824,search,57
7648126,search,73
8899536,deeplink,23
7938112,saved_search,31
3162342,obsessions,16
1118760,saved_search,29
5591496,obsessions,86
7779246,obsessions,67
8926628,obsessions,72
9109558,shop_browse_categories,15
8268372,obsessions,25
7330686,flash_sale,82
7462676,obsessions,30
8072106,search,41
8452506,Misc,88
6636096,saved_search,46
1585598,ymal,51
151598,flash_sale,72
6655058,ymal,30
9177282,search,36
4519912,flash_sale,62
5966902,search,67
9012610,flash_sale,58
9153990,obsessions,56
7045220,browse_search,99
9029704,obsessions,80
8053014,flash_sale,38
8676854,search,31
6873130,ymal,48
9068450,obsessions,53
9241652,search,41
7790966,saved_search,6
8140142,obsessions,92
3140726,obsessions,100
2074948,obsessions,92
1343174,ymal,98
9118576,search,13
6998430,saved_search,20
9088668,obsessions,37
2098624,flash_sale,85
6996776,search,59
8726506,obsessions,32
5417272,obsessions,86
9032928,saved_search,68
9130774,obsessions,23
2089254,saved_search,49
8888496,obsessions,98
8277772,obsessions,77
7710554,ymal,40
8917966,search,30
5993906,obsessions,10
3559026,flash_sale,82
3527728,search,54
7145272,Misc,88
1917588,flash_sale,71
1132076,flash_sale,11
7543544,search,94
1748076,flash_sale,14
5938294,obsessions,25
3912778,carousel,5
6301700,obsessions,32
6523550,obsessions,43
8928318,search,6
8862756,obsessions,95
8714772,obsessions,67
4489384,obsessions,91
4491082,search,80
8952510,saved_search,87
3026288,carousel,48
9219330,search,40
8427388,search,100
8957838,carousel,16
2015028,search,23
6346578,search,35
1532728,obsessions,35
5564714,saved_search,35
262228,Misc,2
9220102,obsessions,39
8490740,search,101
5736250,obsessions,43
1953294,obsessions,77
2139692,obsessions,65
9170630,obsessions,25
5549880,saved_search,87
9028580,obsessions,87
9152298,search,57
4764656,search,68
7321278,flash_sale,70
2155392,flash_sale,97
8897822,obsessions,33
8144906,search,2
6398098,obsessions,48
7113250,flash_sale,100
1586590,search,65
7255886,obsessions,99
2780390,saved_search,16
1205508,feeds,17
6269156,obsessions,90
8974952,obsessions,76
2560016,saved_search,28
7830786,saved_search,24
6588676,obsessions,76
5769788,saved_search,68
8935870,flash_sale,86
5079886,flash_sale,100
2826356,Misc,73
555504,flash_sale,83
3835832,carousel,14
9239902,browse_search,38
9132960,saved_search,56
9416300,flash_sale,6
8858664,search,32
8980828,search,92
329118,search,71
8811420,obsessions,45
85492,flash_sale,93
6028666,search,71
8441686,feeds,41
7876610,obsessions,19
9146782,Misc,45
123420,flash_sale,79
822526,saved_search,44
2522788,search,56
5977446,saved_search,32
5108334,saved_search,56
9057696,search,79
8979370,search,94
7181834,Misc,43
9046746,obsessions,41
9273518,flash_sale,4
4843788,Misc,54
7369600,obsessions,18
2758518,search,87
339886,saved_search,37
9104476,obsessions,19
9350172,saved_search,18
5623638,flash_sale,9
8520704,flash_sale,19
8924482,Misc,78
9080040,flash_sale,18
7037310,obsessions,95
4945800,obsessions,3
3671660,saved_search,8
8185560,ymal,66
4896052,flash_sale,31
8444830,flash_sale,13
6165146,obsessions,15
7377420,flash_sale,13
8696604,obsessions,44
6188044,search,92
1529348,saved_search,29
8888848,obsessions,100
9285396,obsessions,31
8596666,flash_sale,17
6668376,saved_search,11
8930892,ymal,101
1187692,browse_search,77
558226,obsessions,100
9206686,obsessions,45
1619548,flash_sale,90
854522,flash_sale,81
7859656,obsessions,74
888184,obsessions,92
8441166,obsessions,91
8116578,search,57
9149996,flash_sale,57
8314918,browse_search,101
9288640,Misc,13
9178514,browse_search,36
9082262,flash_sale,56
7937216,obsessions,47
8370652,obsessions,74
5964204,obsessions,22
624724,browse_search,12
3151600,obsessions,94
8881888,flash_sale,68
9088890,flash_sale,71
3472530,Misc,93
6158842,obsessions,12
8426788,Misc,98
8977260,flash_sale,87
8348618,ymal,86
326610,Misc,97
3508802,browse_search,85
6842642,obsessions,6
4069430,search,94
7961462,search,71
9082300,saved_search,71
3511248,search,19
8376762,saved_search,41
5916230,obsessions,10
8449700,obsessions,100
9260806,obsessions,26
2070940,search,50
3080698,ymal,4
6053360,flash_sale,58
7887292,obsessions,8
3898998,search,15
831142,search,23
426700,flash_sale,46
