user,browse_search,carousel,deeplink,feeds,flash_sale,Misc,obsessions,saved_search,search,shop_browse_categories,shop_browse_designers,shop_browse_new_arrivals,shop_browse_sale,ymal
313826,,,,,,,57,,,,,,,
315214,,,,,2,,13,,,,,,,
315672,,,,,,,,,33,,,,,
315748,,,,,,,,,70,,,,,
315794,,,,,,,,,45,,,,,
315922,,,,,77,,,62,62,,,,,
316512,,,25,,,,,,,,,,,
317128,,,,,,,,,,,,,,46
317654,,,,,,,,,67,,,,,
318086,,,,,1,,,,,,,,,
318300,,,,,,,,,80,,,,,
318492,,,,,41,,,,,,,,,
319882,,,,,29,29,,,58,,,,,
320932,,,,,,,27,,,,,,,
321916,,,,,,,,,31,,,,,
322656,,,,,86,,,,85,,,,,
323426,,,,,61,,61,,,,,,,
323630,,,,,,,14,,,,,,,
325098,,,,,82,,28,,13,,,,,
325568,,,,,,,,,1,,,,,
325576,,,,,17,17,17,,,,,,,
326610,,25,,,20,1,1,20,18,,,,,22
327654,,,,,,,5,,,,,,,
329118,,,,,,47,,,35,,,,,
329184,,,,,,,,,29,,,,,
329462,,,,,,,,55,84,,,,,
329830,,,,,90,,90,,,,,,,
329974,,,,45,,,2,,,,,,,
330078,,,,,,,44,,,,,,,
330300,,,,,45,,27,60,,,,,,
330326,,,,,,,4,,7,,,,,
330686,,,,,,,,27,,,,,,
331540,,,,,,72,67,72,67,,,,,
331686,,,,,,,,,6,,,,,
333202,78,,,,79,82,23,,6,,,,,
333854,,,,,,,,68,93,,,,,
333918,,,,,,85,,,,,,,,
334382,,,,,,,71,,,,,,,
334944,,,,,,,94,,,,,,,
335328,,,,,53,,28,,,,,,,
335374,,,,,,,,22,,,,,,
335668,,,,,,,,,4,,,,,
337226,,,,,27,,,,19,,,,,
337254,,,,,,,8,,8,,,,,
337428,,,,,,,,84,,,,,,
338196,,,,,52,13,13,53,38,,,,,41
338620,,,,,47,,15,,37,,,,,
338638,,,,,,,21,,95,,,,,
339886,,,,,,,,37,,,,,,
340174,,,,,,27,27,,65,,,,,
340876,,,,,,,,,1,,,,,
341946,,,,,,41,41,71,,,,,,
342154,,,,,,,,,100,,,,,
342242,,,,,,,,,7,,,,,
342686,,,,,,,25,,,,,,,
342738,,1,,,,,,,,,,,,
342754,,24,,,,,,,,,,,,
342864,,,,,,,,43,43,,,,,
342956,,,,,16,,,,,,,,,16
343032,,,,,,,77,,,,,,,
343550,,,,,74,,,,,,,,,
344556,,,,,,,26,,26,,,,,
345080,,,,,,,,,75,,,,,
345646,,,,,,,,20,,,,,,
345692,,,,,,,,,97,,,,,
346066,,,,,,85,97,,57,,,,,
346552,,,,,,,,,76,,,,,
347316,,,,,69,,69,,,,,,,
348864,,,,,21,,9,,13,,,,,
350354,,,,,,95,1,,95,,,,,
351610,,,,,,,13,,,,,,,
351758,,,,,,,,,100,,,,,
352030,,15,,,,,,15,7,,,,,
352406,,,,,,,12,,,,,,,
354058,,,,,41,,40,,24,,,,,
354820,,,,,,,,,84,,,,,
356584,,,,,,13,13,,,,,,,
356874,,,,,,,38,,,,,,,
357048,,,,,,,10,,,,,,,
357824,,,,,,,44,,98,,,,,
358560,,,,,,,,,88,,,,,
358700,,,,,19,,,,24,,,,,
359650,,,,,89,,,,,,,,,
359816,,,,,,,100,,,,,,,
360306,,,,,,,,,39,,,,,
360630,,,,,,,16,,47,,,,,
360696,,,,,33,,,,,,,,,
361196,,,,,,,38,,,,,,,
361464,,,,,,,43,2,,,,,,
362120,,,,,,,,,75,,,,,
362232,,,,,,,55,,,,,,,
362236,,,,34,,,61,,19,,,,,
363392,,,,,34,,21,,,,,,,
363794,,,,,,,85,,,,,,,
367540,,,,97,17,7,7,,79,,,,,
367680,,,,,,,81,,,,,,,
367880,,,,,,,9,,,,,,,
368596,,,,,,,,44,43,,,,,
368738,,,,,76,100,30,,79,,,,,
372020,,,,,,,13,,,,,,,
372380,,,,,,,41,,,,,,,
373234,,,,,64,,35,68,62,,,,,64
373684,,,,,,,27,,,,,,,
375982,,,,,9,,,,,,,,,
376204,,,,,24,13,24,19,73,,,,,
376760,,,,,59,,,9,72,,,,,
377210,,,,62,,62,4,,69,,5,5,,
378570,,,,,21,,35,,38,,,,,
378770,,,,,17,,,18,,,,,,
381328,,,,,23,,,,,,,,,
381874,,,,,,,,,54,,,,,
381958,,,,,63,,48,,,,,,,
382072,,,,,,,,,,,,,,66
382562,,,,,,,39,,79,,,,,
384352,,,,,,,48,,,,,,,
385462,,,,,,,14,,14,,,,,
388876,,,,,35,,,,,,,,,35
389576,,,,,8,,,,92,,,,,
389688,,,,,87,,,,,,,,,
389906,,,,,,,,,94,,,,,
391348,,,,,,46,12,12,,,,,,
391908,,,,,43,,,46,60,,,,,
392882,,,,,56,,,56,,,,,,
396462,,,,,,,,29,,,,,,
397140,,,,,,,,,42,,,,,
397778,,,,,,,36,,,,,,,
398168,,,,,,13,13,,,,,,,
399060,,,,,,,,,79,,,,,
399742,82,16,,,57,,,7,22,,,,,
400382,,,,,,,15,,,,,,,
401226,,,,,,,,21,,,,,,
401294,,,,,,,76,,,,,,,
402128,,,,,,17,8,,4,,,,,
402878,,,,,,,15,,,,,,,
403904,,,,,,,50,,,,,,,
404160,,,,,,,68,,,,,,,
405670,,,,,,,78,,7,,,,,
406154,,,,,3,,,,4,,,,,
407856,,,,,,,100,,,,,,,
408316,,,,,,,10,,,,,,,
408394,,,,,48,,,,,,,,,
408418,,,,,,,,20,,,,,,
408546,,,,,3,,,,15,,,,,
408770,,,,,,,,,40,,,,,
408818,,,,,,,,,48,,,,,
408858,,,,,,57,25,25,25,,,,,
409030,,,,,41,41,27,,2,,,,,
409570,,,,,,,,,27,,,,,
410980,,,,,58,,,,,,,,,
411132,,,,,,,12,,,,,,,
411474,,,,,,,4,,,,,,,
413288,,,,,55,,34,,,,,,,
413664,,,,,29,,,,,,,,,28
414356,,,,,15,,,,,,,,,
414764,,,,,,,13,,,,,,,
415264,,,,,,,,,,20,,,,
417144,,,,,69,,,,,,,,,
419812,,,,,23,,38,34,9,,,,,
420004,,,,,6,,,,,,,,,
420526,,,,,,,24,,24,,,,,
420908,,,,,,,41,,42,,,,,
420934,,,,,,,,,,,,,,93
421202,,,,,,,15,,,,,,,
421348,,,,,,,17,4,,,,,,
421962,,,,,5,32,36,,8,,,,,36
421992,,,,,,,,69,69,,,,,
422198,,,,,8,,8,,40,,,,,
423122,,,,,,8,100,,,,,,,
423468,4,,,,,,,,,,,,,
423878,,,,,,6,9,,,,,,,
424110,,,,,,,25,,,,,,,
424198,,,,,,,,4,,,,,,
426190,,,,,,,20,,,7,20,,,74
426700,,,,,46,,,,,,,,,
427798,,,,,,,,,55,,,,,
427962,,,,,,,37,,63,,,,,
428802,,,,,,,52,,,,,,,
429204,,,,,,,39,,54,,,,,
429254,,,,,,,,,95,,,,,
430600,,,,,49,,29,45,,,,,,
431302,,,,,,,76,,,,,,,
431358,,,,,,,8,,,,,,,
431424,,,,,,,,,26,,,,,
431432,,,,,,,17,,,,,,,
432026,,,,,,,,,3,,,,,
433262,,,,,,,73,,12,,,,,
433582,,,,,,,18,,68,,,,,
433808,74,,,,,,65,,,,,,,74
434284,,,,,,28,24,,,,,,,
435194,,,,,,,16,,,,,,,
436176,,,,,,,,,18,,,,,
436308,,,,,,,27,,,,,,,
437666,,,,,15,,,,27,,,,,
439522,,,,,,,54,36,,,,,,
439728,,,,,,23,29,,,,,,,10
440164,,,,,,,,,88,,,,,
440256,,,,,,,,1,64,,,,,
442254,,,,,78,40,15,,,,,,,
444086,,,,,,24,80,,,,,,,
444392,18,,,,,,,,,,,,,
446378,,,,,,,,,92,,,,,
446650,70,,,,,,91,,,,,,,
447182,,,,,67,,,,11,,,,,
447672,,,,,,,,,98,,,,,
447946,,,,,,,,,25,,,,,
448240,,,,,,,,19,7,,,,,
448434,,,,,,,21,,21,,,,,
450474,,,,,,44,,,30,,,,,
450796,,,,,,,,,73,,,,,
