user_id,date,count_purchases,count_items_viewed
2198822,7/19/2016,1,15
2226230,10/7/2016,1,2
2314802,7/9/2016,1,14
2314802,7/28/2016,1,15
2314802,9/20/2016,1,10
2334806,7/7/2016,1,10
2334806,7/14/2016,1,4
2334806,7/17/2016,1,61
2334806,7/25/2016,1,23
2334806,7/31/2016,1,18
2334806,8/20/2016,1,8
2334806,8/27/2016,1,9
2334806,9/16/2016,2,22
2334806,9/18/2016,1,9
2334806,9/24/2016,1,11
2389586,7/26/2016,1,5
2389586,8/17/2016,1,4
2389586,9/18/2016,1,52
2389586,9/24/2016,1,4
2488592,7/10/2016,1,15
2488592,7/25/2016,1,15
2488592,9/22/2016,1,24
2488592,10/7/2016,1,96
2521212,9/28/2016,1,3
2579562,9/16/2016,1,333
2725080,10/2/2016,1,11
2725080,10/7/2016,1,17
2785718,10/5/2016,1,5
2841134,8/30/2016,1,2
2841134,9/7/2016,1,85
2841134,9/17/2016,1,6
2948154,9/30/2016,1,8
2954550,10/6/2016,1,10
3035698,9/10/2016,1,6
3035698,9/20/2016,1,1
3037204,8/22/2016,1,6
3037204,9/27/2016,1,5
3162532,8/6/2016,1,5
3162532,8/15/2016,1,20
3162532,10/5/2016,1,17
3287768,7/28/2016,1,2
3321734,9/6/2016,1,30
3328468,8/19/2016,1,66
3374308,8/27/2016,1,3
3532088,9/9/2016,2,11
3802724,7/25/2016,1,15
3807514,8/16/2016,1,8
3807514,9/1/2016,2,7
3846710,8/31/2016,1,8
3858828,7/31/2016,2,22
3858828,8/17/2016,1,27
3868306,8/20/2016,1,16
3868306,9/3/2016,1,7
3961104,8/23/2016,1,2
4023250,7/2/2016,1,8
4053426,8/9/2016,1,6
4053426,9/8/2016,1,1
4078578,7/5/2016,3,38
4138146,9/11/2016,1,4
4155646,7/13/2016,1,8
4190692,7/28/2016,1,37
4265696,7/24/2016,1,17
4299402,7/1/2016,1,20
4299402,9/2/2016,1,36
4336822,9/16/2016,1,133
4336900,8/28/2016,1,7
4336900,9/21/2016,1,31
4366440,8/26/2016,1,4
4366440,8/28/2016,1,14
4410230,9/23/2016,1,154
4452228,9/4/2016,1,3
4469912,10/7/2016,1,47
4481684,7/20/2016,1,15
4522144,9/2/2016,1,148
4534210,9/18/2016,1,4
4537724,7/3/2016,1,3
4537724,7/8/2016,1,2
4537724,7/15/2016,1,2
4537724,7/20/2016,2,8
4537724,7/30/2016,1,2
4537724,10/5/2016,1,8
4580014,9/2/2016,1,103
4683668,8/15/2016,1,6
4754096,10/7/2016,1,4
4761592,7/3/2016,1,6
5128562,10/6/2016,1,1
5179352,7/16/2016,1,2
5307644,8/16/2016,1,42
5380554,9/17/2016,1,30
5442474,10/8/2016,1,4
5442474,10/9/2016,1,2
5557908,10/6/2016,1,24
5558984,7/11/2016,1,26
5656146,9/18/2016,1,12
5656146,10/5/2016,2,28
5676274,9/26/2016,1,8
5680054,7/30/2016,2,30
5785458,8/22/2016,1,28
5834450,10/1/2016,1,1
5851648,8/11/2016,1,3
5851648,8/20/2016,1,12
5851648,8/31/2016,1,9
5860444,7/20/2016,1,12
5911582,7/8/2016,1,10
5963062,7/27/2016,1,20
6090498,9/13/2016,1,52
6108280,8/14/2016,1,2
